heure_estimee,complexite,priorite,phase,experience_technicien,meteo,saison,duree_reelle
6,2,4,4,1.31,3,1,7.82
18,1,1,3,0.6,3,3,23.91
16,2,4,1,1.96,2,0,18.41
15,2,1,3,0.62,1,2,16.3
11,1,4,1,0.94,2,2,14.12
10,1,4,1,1.32,2,0,12.11
3,1,2,0,1.95,0,1,1.0
2,3,2,3,0.78,1,3,5.5
12,2,1,4,1.32,1,3,15.49
10,1,3,1,0.84,0,2,9.2
13,2,3,1,1.0,0,2,13.16
19,3,1,0,1.09,2,2,24.48
12,3,2,4,1.92,0,1,10.48
14,2,4,2,1.66,1,0,14.53
19,2,2,1,1.07,2,1,19.03
20,2,1,3,0.88,0,3,21.37
8,1,4,2,1.55,1,3,8.69
20,3,1,4,1.2,3,0,25.1
5,2,2,1,1.25,3,2,7.78
19,1,4,0,0.91,1,2,18.09
11,2,1,3,1.93,0,1,9.75
5,2,3,3,1.04,1,0,3.89
16,3,1,1,1.27,3,1,19.96
10,3,4,0,1.13,2,1,11.07
12,1,3,1,1.41,2,1,13.21
8,3,4,1,0.52,2,0,9.29
3,1,3,4,1.8,1,0,3.01
9,1,3,3,1.03,3,1,9.2
17,1,4,3,1.42,1,3,17.01
15,2,4,1,0.52,0,3,16.76
12,3,2,1,1.96,2,3,16.08
18,3,3,1,1.15,0,3,18.66
8,1,4,0,1.34,0,3,7.68
9,1,4,2,1.36,0,3,8.78
20,2,2,4,0.59,3,3,26.43
7,3,4,3,0.54,0,1,5.01
12,2,2,2,0.54,0,2,11.88
13,2,3,1,0.78,1,0,11.68
19,2,1,3,1.71,3,1,22.32
17,2,1,0,0.71,2,1,18.76
4,2,2,4,1.39,3,0,6.0
15,1,4,0,1.06,0,1,11.19
9,3,3,2,1.09,1,3,10.83
7,3,2,4,0.88,0,3,8.66
10,2,1,3,1.37,0,0,8.12
8,1,3,1,1.74,2,0,10.17
7,1,3,1,1.71,3,1,7.94
8,1,3,4,1.93,3,3,12.84
14,3,2,4,0.89,0,2,14.87
8,1,1,4,1.47,0,3,8.94
4,3,2,3,1.4,0,3,6.49
9,2,2,1,0.85,1,3,10.17
11,2,2,4,1.79,0,3,11.55
10,1,2,1,1.25,3,1,10.76
13,1,1,0,0.53,3,2,15.85
11,2,1,1,1.16,0,1,10.54
5,3,4,0,0.99,0,3,7.47
14,3,2,2,1.75,3,3,20.49
10,3,4,3,0.53,1,0,10.87
18,3,3,2,1.81,1,3,18.63
12,1,2,2,0.86,0,3,13.27
14,1,3,0,1.93,0,3,14.0
9,1,4,4,0.82,1,3,8.52
18,3,4,3,0.98,3,2,21.54
5,1,3,4,1.06,3,1,5.09
6,2,1,1,0.55,0,2,7.35
9,3,4,4,0.85,3,1,11.83
17,3,1,1,1.12,2,2,22.63
6,3,4,2,1.88,0,3,6.55
4,2,1,3,1.52,2,3,8.6
2,2,4,4,0.71,0,0,2.07
11,3,3,1,0.86,0,2,10.49
16,3,3,0,1.24,2,3,20.47
7,2,4,3,0.54,0,2,6.78
11,2,4,3,1.48,2,3,14.12
6,1,3,1,0.96,2,0,8.46
17,3,4,1,1.43,3,3,23.51
2,2,2,1,1.9,2,1,3.05
19,1,3,3,1.28,0,3,19.48
9,1,3,3,0.73,3,1,9.49
11,1,2,2,1.58,1,1,10.23
14,2,1,2,0.62,3,1,17.12
12,2,2,0,1.89,2,3,15.48
12,2,3,4,0.53,2,1,13.51
4,2,3,4,1.03,0,3,6.17
6,2,4,1,1.18,0,0,3.37
17,2,4,4,0.6,3,1,18.34
10,2,1,3,1.9,3,2,15.17
10,1,1,1,1.06,1,2,9.9
6,3,2,2,0.93,1,0,8.0
5,2,3,4,0.83,3,3,9.07
13,1,4,4,1.32,0,2,12.74
3,2,3,3,1.94,1,3,4.16
3,2,1,2,1.49,1,0,3.91
10,2,4,1,2.0,2,2,11.37
12,3,3,0,1.53,1,2,11.96
7,2,3,4,0.88,3,3,13.22
15,1,3,2,1.18,0,2,14.0
12,3,2,0,1.23,2,2,15.26
15,2,2,1,1.67,3,0,19.24
4,3,2,1,0.7,3,2,9.34
3,3,3,4,1.07,3,1,6.5
4,1,3,1,1.72,0,0,1.09
10,1,4,0,1.89,0,3,8.45
13,2,4,1,1.85,1,2,12.81
13,3,1,0,1.72,1,0,14.28
4,1,2,0,1.55,2,1,2.96
15,2,1,1,1.89,1,1,13.47
18,3,1,2,0.59,2,1,19.77
17,3,4,2,0.81,3,0,18.93
11,2,4,4,0.76,0,3,10.58
14,3,2,1,1.04,2,2,18.21
17,2,3,1,1.36,0,2,16.0
10,1,3,0,0.95,0,2,8.41
15,3,3,2,1.07,2,3,19.88
3,2,1,3,0.67,1,0,2.41
16,1,2,0,1.71,0,0,12.71
6,3,2,3,1.94,3,1,8.94
15,3,2,0,1.03,3,3,20.76
10,2,4,0,1.34,0,3,10.54
11,3,1,0,1.88,2,0,15.04
8,1,2,2,1.38,3,3,11.1
11,1,4,0,1.15,0,2,10.96
8,2,1,2,1.66,0,3,8.85
6,3,3,0,0.93,1,2,6.84
16,1,4,4,0.9,2,2,18.41
14,3,2,3,1.08,1,0,14.6
2,1,3,4,1.7,3,1,3.29
12,3,2,1,1.17,2,0,13.6
2,1,2,3,1.16,2,2,5.27
17,1,3,2,1.25,3,0,19.06
5,2,3,4,1.95,2,1,6.48
10,3,1,0,1.85,2,2,14.16
13,1,4,2,1.24,2,1,11.7
18,3,4,4,0.51,2,3,23.75
10,3,2,0,1.38,3,1,13.59
16,2,3,0,0.74,1,3,18.41
13,3,1,1,0.88,2,2,17.67
7,3,1,4,0.63,3,2,13.82
11,3,1,2,1.14,0,0,10.52
9,2,3,4,1.11,1,0,7.5
10,3,1,1,0.62,2,2,14.05
14,2,1,3,1.7,1,3,17.05
5,2,2,1,1.41,1,3,6.43
18,2,1,1,0.55,2,1,20.83
10,1,4,0,0.56,3,1,9.96
20,1,2,1,1.95,1,3,20.37
8,1,2,3,1.19,2,1,7.16
17,2,4,4,1.28,0,3,16.27
9,1,3,1,1.6,3,3,14.0
10,3,2,4,1.13,2,0,12.95
8,2,1,4,0.64,0,3,8.32
14,2,2,2,1.59,2,2,18.26
9,3,1,2,1.27,2,0,11.68
9,3,1,3,1.73,1,3,11.13
5,2,3,0,1.48,0,2,4.66
5,1,4,4,1.96,2,1,3.05
16,1,1,0,0.59,2,2,18.28
13,3,3,0,1.55,1,2,14.08
2,1,2,0,0.64,2,3,5.62
2,3,4,1,1.08,0,1,1.0
20,2,4,2,1.44,1,2,19.93
15,1,2,3,1.88,3,1,16.79
12,2,3,3,0.54,0,2,12.87
4,3,4,4,1.23,3,0,6.07
10,3,3,3,1.73,2,1,10.06
13,3,4,3,0.68,3,3,18.18
7,1,2,2,1.33,1,0,7.2
15,2,2,0,0.81,2,3,17.89
9,3,2,4,1.81,0,2,9.63
16,1,2,4,1.66,0,0,12.84
10,3,2,2,1.86,3,0,13.07
2,1,1,0,1.81,2,3,5.39
20,2,4,3,0.95,1,1,18.77
10,1,2,0,1.51,2,0,10.67
3,3,2,3,1.65,0,2,3.02
20,3,3,1,1.76,0,1,17.6
10,1,4,4,1.65,0,2,8.23
13,3,3,0,1.7,0,1,12.0
4,2,2,2,1.71,3,3,7.98
10,1,4,3,1.79,3,2,13.71
11,1,4,0,0.71,0,0,8.01
10,3,4,0,0.96,3,2,14.8
17,1,4,0,1.41,3,2,19.28
16,1,4,1,0.61,0,2,15.79
15,2,1,0,0.8,0,3,16.27
8,3,2,3,1.79,1,2,9.67
5,3,1,2,1.68,3,0,9.56
9,1,4,1,0.99,2,2,9.97
11,2,4,3,1.68,1,1,7.72
19,3,4,1,1.95,3,1,19.63
15,3,2,2,0.6,3,1,17.79
15,3,3,0,0.55,3,1,18.27
10,3,2,1,1.32,3,0,14.38
19,1,4,4,1.55,2,2,20.11
16,2,3,3,0.84,2,0,18.02
16,3,2,1,1.02,1,1,15.62
9,3,4,3,1.28,2,1,10.13
13,2,3,2,1.56,0,1,9.57
17,1,4,1,1.9,1,1,14.11
17,3,1,4,0.56,0,2,19.45
8,2,3,0,1.24,3,1,10.87
19,1,1,3,1.98,3,0,21.96
19,1,1,1,0.76,2,3,23.3
16,3,3,1,1.92,1,1,15.64
7,1,4,3,1.03,1,2,7.06
7,3,3,3,0.83,1,3,10.27
16,2,3,0,0.54,2,0,17.87
9,3,3,1,0.6,0,2,10.31
9,1,1,2,0.9,1,3,11.92
9,1,1,3,0.82,3,1,9.95
17,3,3,1,1.05,1,0,16.45
6,3,3,4,1.11,0,2,5.87
12,3,2,1,1.25,0,2,13.74
10,2,2,2,0.62,3,2,13.5
14,3,1,0,0.75,2,0,16.58
18,3,3,0,1.46,1,2,20.31
2,1,1,2,1.74,2,3,5.55
2,1,4,4,1.3,3,0,2.31
16,2,3,2,1.66,3,3,19.24
9,2,1,0,0.99,2,3,12.96
2,3,3,2,1.06,3,2,6.82
9,3,2,3,1.9,1,0,10.24
7,3,4,0,1.41,0,3,7.56
2,1,1,4,1.87,0,2,1.0
6,2,3,1,1.13,2,0,8.13
13,1,2,4,0.88,1,1,10.8
12,2,2,4,1.11,1,3,14.01
11,3,1,2,1.56,1,0,11.23
14,3,1,3,0.85,0,1,14.37
10,2,2,2,1.37,2,3,15.05
20,2,4,1,1.83,1,3,20.18
17,1,4,1,1.73,0,2,14.47
4,2,4,1,0.74,1,3,6.81
20,3,1,3,1.06,3,2,26.23
8,3,4,4,1.87,2,0,9.79
10,3,4,3,1.32,3,3,14.01
20,3,4,2,1.34,2,2,22.53
19,3,1,4,1.29,2,0,22.91
16,3,4,2,1.79,0,0,15.72
6,3,3,2,1.37,1,1,4.69
3,1,1,4,1.41,3,1,5.63
19,1,2,4,1.56,2,2,20.94
9,1,1,4,0.67,1,3,10.36
9,1,4,4,1.69,1,1,6.46
18,1,2,3,1.94,0,0,15.12
12,3,2,2,0.99,1,1,11.41
3,1,1,0,1.42,3,2,5.39
4,1,1,3,0.59,0,0,2.46
13,2,4,3,1.97,3,2,15.54
9,1,2,0,0.73,2,1,8.77
6,1,2,3,1.8,2,0,7.14
17,1,1,4,0.66,3,3,21.89
2,2,1,1,1.49,0,3,4.55
4,2,1,3,1.61,2,1,5.47
15,2,3,4,1.41,2,1,17.08
16,1,4,4,1.29,0,0,13.36
13,2,3,4,1.58,0,2,12.0
18,3,3,1,1.65,1,1,16.25
8,3,4,1,1.39,0,3,7.88
5,3,1,3,0.81,3,2,8.91
8,2,2,3,1.18,1,3,8.94
18,2,4,2,0.55,2,0,20.06
5,1,2,4,1.31,2,2,7.63
16,1,3,3,1.38,3,2,17.57
2,3,2,0,1.07,0,1,1.46
7,2,1,1,1.15,1,1,6.43
16,2,1,3,1.21,3,0,20.59
9,1,3,3,1.64,1,0,6.76
4,1,2,1,0.7,0,2,3.66
7,2,1,0,1.85,2,3,9.69
15,2,1,4,1.12,1,3,18.47
16,2,2,3,0.82,2,3,19.53
17,3,2,3,1.64,0,1,16.27
18,2,2,2,0.96,0,1,17.28
3,1,1,3,0.55,1,0,3.22
7,3,3,2,0.95,2,2,11.86
14,2,3,3,1.87,2,1,14.63
6,1,1,4,0.94,0,2,6.94
19,2,2,0,0.91,3,2,22.13
8,1,1,1,1.39,2,3,10.81
4,2,2,4,0.87,2,1,4.88
2,3,2,0,1.06,0,3,3.71
8,3,2,2,0.95,0,2,9.06
7,2,4,3,1.31,1,2,8.15
12,3,4,0,0.98,3,2,15.69
10,3,4,0,0.66,2,0,12.67
20,2,1,3,1.41,0,3,22.12
5,2,1,2,0.92,2,0,6.4
14,1,1,0,1.98,2,1,13.1
14,3,2,1,1.06,3,2,17.84
20,3,1,4,1.69,1,3,23.96
16,2,1,1,0.88,3,1,17.5
16,2,4,2,0.74,3,1,16.91
6,3,3,3,0.91,0,2,6.8
8,2,4,2,1.46,3,0,9.92
6,2,4,1,1.37,0,2,6.75
12,3,1,3,1.46,2,0,13.87
20,3,4,3,1.88,2,2,23.32
13,3,2,3,1.94,3,0,15.32
11,2,4,3,1.28,2,2,12.83
19,3,4,2,1.34,3,0,21.72
20,2,4,2,1.47,2,2,22.12
18,3,3,4,1.25,3,3,22.76
16,3,3,2,1.25,0,0,16.75
18,3,1,2,0.95,0,2,18.61
14,1,1,1,1.28,1,3,17.05
2,1,3,1,1.55,2,3,5.63
2,3,1,1,0.51,0,3,3.58
12,1,2,3,0.5,3,2,15.35
14,2,2,1,0.75,1,3,16.44
10,3,1,3,1.51,1,3,11.9
6,3,1,2,0.61,0,3,8.9
18,2,1,3,0.9,3,0,20.93
20,1,3,1,1.44,3,3,22.78
8,2,3,1,0.74,3,1,11.03
16,3,2,0,1.24,0,1,13.88
6,3,2,0,1.42,3,1,9.88
2,3,3,1,1.28,0,0,1.69
12,3,3,0,1.64,2,0,13.05
16,2,1,3,1.29,3,1,17.59
14,2,2,4,0.93,1,2,14.21
7,3,3,3,1.82,2,0,8.56
12,3,4,2,1.68,3,3,17.03
19,1,3,1,0.7,2,3,21.35
8,3,3,1,1.93,2,0,10.09
10,2,2,3,1.12,2,2,13.11
5,2,4,3,0.53,2,2,8.96
3,1,3,1,0.88,2,0,4.99
7,3,4,0,1.53,0,1,4.77
8,3,1,0,1.41,3,0,11.81
20,1,4,4,0.76,3,2,21.86
18,1,3,2,1.97,0,2,16.02
14,2,2,4,1.36,1,3,16.98
13,1,4,3,0.8,1,1,10.88
6,1,1,2,1.84,0,2,5.06
14,3,4,3,1.82,0,1,12.3
18,1,3,2,1.63,0,3,18.6
20,2,2,1,1.81,2,0,21.84
17,2,2,2,0.98,3,3,21.97
11,3,1,4,0.92,2,0,15.36
9,3,1,4,1.88,0,0,8.42
19,3,2,4,1.59,1,2,20.53
17,1,1,0,1.14,2,0,19.99
6,3,3,1,0.63,3,0,9.61
9,3,3,0,1.39,0,1,8.79
15,3,4,0,0.73,2,2,18.01
4,1,2,4,0.95,2,3,7.86
3,3,4,3,0.55,0,2,2.78
8,2,3,0,1.94,0,0,7.23
20,3,3,1,1.69,1,3,22.77
13,2,1,3,1.77,1,1,12.84
5,1,3,4,0.62,0,3,3.93
12,3,2,2,1.8,2,1,13.88
17,1,4,3,0.82,2,1,15.79
11,1,3,4,0.61,3,1,13.23
5,3,1,3,1.98,0,2,5.74
12,1,3,1,1.74,1,2,12.02
17,2,1,2,0.58,2,2,21.17
19,3,2,3,0.81,1,1,20.06
12,3,3,2,1.11,2,3,17.46
2,3,1,3,1.47,2,2,5.9
18,1,3,0,1.69,0,2,15.41
15,1,2,2,0.58,3,1,17.75
2,2,3,3,0.65,0,0,1.32
11,3,4,0,0.94,1,3,14.34
17,3,1,0,0.78,3,1,19.06
20,3,2,3,1.68,0,2,19.07
3,2,3,0,1.97,0,3,2.42
17,3,1,1,1.76,1,1,16.65
8,2,2,1,0.62,0,1,5.52
2,1,4,0,0.61,1,1,1.0
3,1,2,3,0.75,3,0,6.02
3,1,3,2,0.51,0,2,3.07
12,1,4,0,0.88,2,0,12.69
16,2,4,4,0.79,2,0,16.54
18,2,3,0,1.6,3,2,22.67
18,3,3,3,1.62,0,3,18.01
2,2,1,2,1.56,2,1,2.04
