heure_estimee,complexite,priorite,tache,experience_technicien,meteo,saison,duree_reelle
4,1,4,25,1.77,0,1,0.5
2,2,1,7,1.79,3,0,6.13
1,3,3,8,1.62,3,0,4.86
1,2,1,7,1.69,1,2,3.19
1,3,1,4,1.43,3,2,6.6
3,1,1,11,0.57,1,0,2.93
3,3,1,15,1.86,3,3,10.15
1,3,3,25,1.29,2,0,3.04
3,3,3,22,0.68,3,0,6.12
1,2,4,11,0.58,2,0,2.94
1,2,2,19,0.5,0,0,0.94
4,2,2,17,1.69,0,0,2.59
3,1,4,6,0.72,1,3,5.06
3,3,3,11,0.78,3,3,9.46
3,1,3,8,0.89,0,3,4.73
2,1,3,13,1.17,1,0,2.37
3,3,1,1,1.45,2,0,5.37
3,2,2,23,1.78,0,2,3.24
3,3,3,6,1.18,2,1,3.79
4,3,4,9,1.51,3,3,10.14
4,1,4,21,1.43,1,0,1.17
3,1,3,2,1.79,2,1,2.68
1,3,1,21,1.68,3,0,4.32
2,2,4,8,1.03,2,2,5.91
1,1,4,17,1.1,0,3,0.5
2,3,2,16,0.97,0,3,3.07
4,2,1,3,0.81,0,1,1.19
2,2,2,17,1.3,0,1,0.5
4,3,2,10,0.62,3,1,7.74
3,2,4,13,0.63,3,2,5.49
4,1,3,9,1.6,0,3,4.5
3,2,2,20,0.58,3,0,6.65
4,3,4,7,0.8,3,0,6.48
4,2,3,8,0.68,0,3,6.33
1,2,1,25,1.32,1,3,3.04
1,3,3,6,0.99,3,0,5.89
4,1,1,9,0.56,0,0,4.54
2,2,3,11,1.09,3,3,6.8
1,3,2,6,1.17,2,0,2.99
2,2,4,9,1.81,2,0,2.79
4,1,4,16,1.32,1,1,1.44
4,1,2,17,0.59,0,1,2.46
3,2,4,10,1.27,2,1,1.98
3,3,1,0,1.94,2,2,7.56
2,3,1,19,0.99,3,3,8.52
1,3,4,10,1.57,2,2,2.91
3,3,1,15,0.75,2,1,6.56
1,3,2,13,1.95,0,0,1.62
4,2,4,10,1.69,0,1,0.5
1,1,2,13,0.78,0,0,0.5
3,3,2,19,1.32,0,1,0.78
3,2,4,8,0.54,2,0,4.17
4,3,1,8,0.53,2,1,7.18
1,3,4,25,1.63,3,1,4.35
3,3,2,24,1.0,2,2,6.32
1,3,3,7,1.12,0,0,0.5
3,1,1,0,0.59,0,1,0.54
2,1,4,3,1.8,3,0,4.44
4,3,2,25,1.92,0,3,6.21
1,2,3,2,0.53,3,1,4.48
2,3,1,16,1.93,1,1,1.34
4,3,4,13,1.91,3,3,9.63
1,3,2,24,0.73,1,3,5.54
3,1,1,9,0.79,0,0,2.62
1,2,2,18,0.98,0,0,0.5
2,3,2,11,1.49,2,3,5.33
1,2,4,14,1.86,2,0,0.89
4,1,2,20,0.76,3,3,9.05
2,1,2,17,0.83,3,2,6.51
4,3,2,0,1.11,1,1,4.14
3,1,3,23,0.86,1,3,5.65
1,3,4,14,0.88,1,2,2.84
3,1,4,25,0.8,3,1,2.61
4,1,1,23,1.22,1,0,2.35
4,3,3,18,1.3,0,1,3.04
3,3,3,20,0.85,0,1,2.42
3,1,4,3,1.67,3,2,6.17
4,1,2,11,1.16,0,2,4.87
4,2,3,15,1.01,1,1,1.83
1,3,4,6,1.68,2,2,4.64
3,3,2,13,1.34,1,3,7.17
4,2,3,19,1.02,3,1,5.66
2,1,4,8,1.8,2,1,2.01
2,3,3,15,0.96,1,0,1.84
2,2,2,1,0.59,3,2,6.1
1,1,2,24,0.58,0,1,0.5
1,2,1,9,1.8,0,2,2.22
3,3,4,23,1.21,2,0,6.4
2,2,4,8,1.92,3,0,2.71
1,2,4,4,1.26,0,2,1.59
1,3,1,14,1.52,3,2,4.76
2,2,2,2,1.59,2,2,6.07
2,1,4,22,0.75,0,0,0.5
4,3,2,16,0.95,2,1,5.83
4,1,4,5,1.57,0,1,1.26
3,1,2,8,1.54,1,3,2.78
2,3,1,17,1.29,2,3,5.53
3,3,4,0,1.83,2,2,5.61
1,3,3,14,1.61,3,2,4.98
3,2,1,25,0.78,0,1,2.86
1,3,1,24,0.62,3,2,7.21
3,3,1,10,1.9,1,3,6.11
4,2,1,22,0.52,3,3,9.42
4,3,3,12,1.96,3,1,6.68
1,2,3,6,0.67,1,3,4.22
2,2,2,19,1.52,3,1,3.07
2,2,4,20,1.58,3,2,5.3
2,1,3,24,1.78,2,3,4.32
4,1,2,8,1.38,0,0,3.25
1,2,1,23,0.51,0,2,0.95
1,3,3,13,1.76,0,1,0.5
4,1,1,12,1.41,2,0,4.41
2,1,3,15,1.94,2,0,2.56
4,3,2,1,1.32,1,1,3.69
1,3,4,12,0.51,3,2,5.03
3,2,4,19,1.62,3,0,6.0
4,2,2,9,1.94,3,2,7.52
1,2,2,2,1.07,0,0,0.5
2,1,2,0,1.54,1,3,2.47
4,3,3,7,1.2,2,1,6.6
3,2,3,14,1.47,2,3,5.91
4,3,3,3,1.25,1,0,3.09
3,1,3,21,0.72,3,0,6.52
1,3,2,19,1.89,1,3,2.4
1,3,3,8,0.53,2,0,2.59
1,2,2,9,1.67,2,2,4.62
2,3,4,1,1.16,0,3,1.8
3,1,4,4,0.52,1,2,1.99
1,3,4,21,1.15,0,3,3.48
3,3,3,0,0.64,1,1,1.96
4,2,3,25,1.47,1,2,4.46
3,2,3,21,1.48,2,0,3.34
3,3,2,21,1.66,3,2,7.16
3,2,3,6,0.67,3,1,3.65
3,2,3,23,1.14,0,0,2.4
2,3,2,15,1.73,0,1,0.82
1,1,1,11,1.46,0,1,0.5
3,2,2,12,1.6,0,3,2.93
3,3,2,24,1.38,1,2,6.02
1,2,1,7,1.23,2,1,3.0
2,3,4,1,1.55,2,3,5.21
3,2,3,17,1.13,2,0,4.87
3,2,2,22,1.35,3,2,8.21
1,2,2,24,1.3,1,1,0.5
4,3,2,7,0.6,2,1,6.72
1,3,1,13,1.94,0,0,0.5
2,3,1,14,0.96,1,1,0.89
4,2,3,20,1.95,0,2,2.09
1,3,3,0,1.69,2,3,5.91
2,1,4,19,0.67,1,0,2.4
1,3,4,17,1.58,0,2,0.93
2,1,3,17,1.56,1,3,4.21
4,2,1,23,1.49,1,1,3.86
4,1,3,19,0.87,2,0,4.7
3,3,1,6,1.76,2,1,5.44
2,2,4,18,0.81,0,2,0.96
4,3,1,18,1.45,3,2,9.12
3,3,4,4,0.63,0,3,3.11
2,2,4,23,1.8,3,0,4.84
1,3,3,21,1.25,2,1,1.22
4,1,1,13,0.74,0,3,6.27
1,1,2,2,1.7,0,2,0.5
1,3,4,23,1.38,3,2,5.91
2,1,1,22,1.34,1,3,4.7
2,1,3,23,1.37,0,1,0.5
2,2,4,11,1.77,2,0,4.46
1,3,4,1,0.83,2,0,3.85
3,1,2,25,1.64,2,3,6.41
1,2,4,4,0.91,3,2,6.01
4,1,1,21,0.88,0,1,2.94
3,3,1,1,1.52,0,2,3.33
4,2,4,5,1.64,3,0,7.11
3,3,3,21,1.92,3,0,4.76
2,1,4,18,1.77,0,1,0.5
1,1,4,17,1.43,1,0,0.5
1,1,2,16,1.0,2,0,1.89
1,1,3,24,1.29,1,3,0.87
1,3,4,0,0.69,2,1,2.25
2,2,3,9,1.88,2,3,6.32
2,3,4,19,0.54,2,2,4.51
4,1,2,10,0.53,2,2,5.47
1,1,3,2,1.27,2,2,3.49
1,1,3,18,1.13,3,1,1.53
2,2,1,25,1.9,2,0,3.66
4,3,1,2,1.01,1,1,3.34
3,2,4,13,1.68,2,0,4.73
3,1,1,20,0.55,1,1,3.41
3,3,2,23,1.91,0,2,4.38
2,3,3,1,1.18,1,0,2.95
3,2,2,13,0.93,1,3,6.28
1,1,1,15,1.33,3,0,2.77
3,2,2,1,0.72,3,1,3.88
4,1,2,1,1.69,1,2,4.3
1,1,2,4,1.84,1,1,0.5
4,3,4,1,1.46,2,2,8.21
2,1,4,22,0.98,1,0,0.5
1,3,1,5,1.85,0,0,1.14
3,2,2,3,1.8,2,3,8.12
3,3,1,15,1.46,1,3,5.07
2,2,2,20,1.17,3,2,5.11
1,3,2,7,0.92,2,1,3.53
3,2,1,17,1.63,0,2,1.8
4,2,3,5,0.86,3,0,8.28
3,3,3,22,1.58,1,2,5.35
3,2,3,11,0.51,2,1,3.48
4,3,1,7,0.74,2,0,6.39
2,1,3,12,1.77,0,3,0.98
4,3,3,14,1.15,2,2,8.5
2,2,4,5,1.4,2,3,6.16
3,2,3,22,0.55,3,2,6.44
1,2,4,24,1.87,2,0,1.48
4,3,4,2,1.7,1,2,6.11
4,3,1,15,1.72,0,0,2.37
2,1,3,25,1.27,1,2,2.04
4,2,2,15,1.1,1,1,3.66
4,2,4,13,0.62,2,2,6.5
3,2,2,0,1.69,1,1,2.16
3,3,1,1,1.94,2,0,4.31
1,2,1,9,1.72,0,2,1.63
3,2,4,20,1.73,0,3,2.32
4,2,3,11,0.69,3,3,9.15
3,2,1,22,1.87,3,3,7.12
2,2,4,19,0.66,2,1,1.66
2,2,4,1,1.75,1,3,2.25
2,3,3,15,1.94,2,1,4.15
4,1,1,6,1.92,0,3,3.12
2,3,3,10,0.83,2,0,6.12
3,2,4,6,1.91,3,1,4.67
1,2,4,15,1.96,1,0,0.5
3,2,1,25,1.47,3,1,4.95
1,2,3,14,1.0,3,0,3.29
4,3,1,23,0.75,2,2,7.06
2,3,3,18,0.51,0,3,3.32
1,2,1,10,0.61,2,0,2.44
3,2,3,10,1.45,3,0,4.46
4,3,4,0,1.0,1,1,3.72
4,1,1,16,0.84,0,1,1.09
4,2,1,1,1.17,3,3,8.72
1,3,4,20,0.9,2,0,2.41
2,2,2,10,1.82,2,3,7.06
4,1,1,9,1.68,2,1,5.83
3,3,2,2,1.52,3,2,8.07
4,2,1,21,1.92,1,2,3.72
1,2,2,24,1.91,0,1,0.5
4,2,4,20,1.36,3,1,6.17
2,1,4,3,1.56,1,1,0.5
1,2,1,6,1.95,0,1,0.5
3,1,2,7,1.82,2,1,2.45
1,3,1,19,0.63,2,3,7.64
4,2,2,16,1.21,3,1,6.28
4,1,4,20,1.25,1,1,2.29
2,2,1,3,0.67,0,1,1.52
1,3,2,21,0.75,1,0,2.64
2,3,3,12,0.94,0,2,2.85
1,3,3,12,1.94,1,0,1.01
4,2,3,23,0.82,1,1,2.05
1,1,4,15,1.46,3,0,2.23
2,1,3,3,0.62,2,0,2.97
1,3,4,14,1.15,1,3,2.01
1,2,1,4,0.73,1,2,1.89
1,3,1,1,0.74,3,1,5.27
4,1,1,21,1.36,2,3,7.71
4,2,4,21,1.29,3,2,7.57
3,2,1,0,1.06,3,1,5.92
2,1,4,2,1.41,1,3,3.11
4,1,1,7,1.93,2,1,5.68
1,3,2,7,1.86,3,1,3.71
4,3,2,23,1.13,3,0,6.65
3,2,3,18,1.69,0,0,0.7
4,2,2,21,1.91,2,1,5.53
4,3,2,4,1.21,2,0,6.28
3,2,4,5,1.36,2,3,7.68
1,1,1,1,1.85,0,3,0.5
4,1,1,21,0.54,0,2,4.16
2,1,2,13,1.35,0,2,0.5
1,2,2,19,0.61,3,3,6.41
4,3,1,10,1.88,2,3,8.62
1,1,3,25,0.64,3,0,2.46
4,3,4,22,1.78,3,2,7.04
3,3,2,10,0.68,1,1,1.96
1,2,3,24,0.93,3,0,2.55
2,2,4,5,0.86,1,0,1.05
3,2,2,11,0.54,0,0,1.92
4,2,3,4,1.47,0,3,3.23
4,3,2,8,0.75,3,1,7.12
4,3,2,4,1.54,1,1,4.84
1,2,2,1,1.37,3,3,4.99
2,3,4,17,1.18,0,1,0.5
1,2,3,19,1.98,1,0,0.5
1,1,4,3,1.02,2,2,1.46
1,3,1,7,1.02,1,3,4.94
4,3,1,23,0.85,2,2,9.14
1,2,2,13,1.89,3,0,2.87
2,3,1,16,1.04,2,2,5.34
4,2,4,3,0.59,3,0,7.19
2,3,3,13,1.12,1,3,5.19
2,2,2,20,0.78,2,0,3.13
3,1,3,25,1.22,2,2,3.85
2,2,3,18,1.12,3,1,3.25
1,3,3,5,0.93,1,2,1.96
3,2,2,3,0.68,3,0,6.92
2,1,1,7,1.25,0,2,0.86
1,2,1,14,0.61,2,2,4.87
1,2,3,1,1.58,3,1,3.25
3,3,3,3,1.11,2,0,4.89
4,3,3,10,1.69,0,3,4.18
1,2,1,22,0.72,1,1,0.5
1,1,2,10,1.87,3,2,4.66
2,1,2,0,0.77,2,0,3.98
1,3,2,1,1.62,2,0,2.39
1,1,3,11,0.8,1,3,2.35
1,3,4,5,1.82,1,0,1.87
2,1,1,0,1.33,1,0,0.95
2,3,2,20,1.17,0,1,1.47
1,1,1,10,1.8,1,1,0.5
4,2,1,4,1.78,3,2,9.42
3,2,2,2,1.15,0,2,2.42
4,1,2,17,0.71,2,0,7.0
4,1,3,7,1.73,3,0,4.77
4,1,4,20,1.79,0,1,0.7
3,3,2,3,1.57,1,0,3.77
3,1,2,10,0.61,2,0,5.72
2,2,1,11,1.04,2,2,6.84
1,3,2,6,0.7,3,3,6.84
1,1,2,6,1.88,3,3,6.0
2,1,2,11,1.57,1,0,1.46
2,1,2,12,1.51,2,0,2.36
2,2,1,21,0.7,3,3,8.22
2,2,3,7,0.57,1,2,1.7
4,1,4,1,1.96,0,1,1.05
2,1,3,20,1.8,3,0,3.27
3,3,2,7,1.65,2,2,5.04
2,3,4,3,0.5,0,2,3.37
3,2,4,18,0.64,3,2,5.74
1,3,4,17,1.11,1,3,3.29
4,2,1,10,0.96,2,0,5.68
1,2,2,13,1.43,1,0,0.72
4,3,1,5,0.89,0,3,6.23
2,2,2,15,0.51,1,3,5.66
3,1,3,20,1.42,0,3,4.28
4,1,4,0,1.89,3,3,8.44
3,3,2,6,0.78,2,1,3.57
1,1,1,22,0.69,0,2,2.12
2,3,3,24,0.92,1,1,2.93
1,2,4,12,1.73,0,1,0.5
4,1,3,12,1.41,2,3,6.84
4,2,4,6,0.78,0,0,3.75
4,1,3,2,0.68,3,2,8.49
4,1,1,12,1.25,1,1,3.38
2,3,1,22,1.24,2,0,3.72
4,2,4,6,1.57,0,3,5.64
1,2,2,11,0.53,2,3,4.03
3,3,2,12,1.16,2,3,9.24
3,2,3,0,0.81,2,2,5.46
3,2,1,4,0.5,1,2,4.68
2,3,1,22,1.15,0,1,1.73
4,2,3,3,1.21,2,1,3.31
4,1,1,20,1.45,3,0,6.11
4,3,2,19,1.98,1,2,4.09
2,1,4,7,0.83,1,1,0.5
4,2,4,24,1.43,1,1,2.82
2,1,1,10,1.23,2,2,5.72
2,1,3,21,0.66,1,2,1.29
3,1,3,3,1.78,2,1,1.66
2,1,2,4,1.44,2,2,5.7
1,1,4,9,0.84,2,2,3.72
2,3,1,6,1.6,3,0,6.59
1,3,4,6,1.7,0,0,0.63
3,1,3,1,1.61,0,1,0.5
4,3,2,4,0.58,0,1,2.64
3,1,3,13,1.18,3,2,5.85
3,2,2,22,0.77,3,3,7.98
4,1,1,3,0.72,0,1,3.12
1,2,4,22,1.17,0,2,0.5
4,1,3,17,1.03,0,2,3.34
3,2,4,25,1.79,0,0,0.5
2,2,1,3,0.76,2,2,5.47
4,1,3,22,1.17,2,3,6.5
1,3,2,7,0.63,1,2,3.29
4,3,1,18,1.21,2,2,7.66
4,1,3,14,1.01,3,2,8.2
2,3,2,20,1.26,1,2,3.81
1,1,4,16,0.56,2,0,3.11
1,2,3,3,1.58,2,3,3.43
3,3,3,19,1.9,1,1,1.42
2,3,4,9,0.8,2,0,3.98
4,1,2,9,0.98,0,3,5.12
3,1,3,10,0.67,1,1,2.1
2,3,3,2,1.79,0,2,3.23
3,2,1,15,1.77,0,1,1.21
4,2,3,17,0.64,2,3,8.34
2,3,3,7,0.55,1,1,0.54
2,3,1,24,1.35,1,0,2.29
3,3,1,24,1.51,2,3,7.59
2,3,3,21,0.59,3,2,7.76
4,3,4,3,1.72,1,0,2.92
3,3,1,22,1.09,0,0,3.93
3,3,2,5,1.0,1,1,4.23
4,3,4,10,1.64,1,0,3.71
3,1,1,22,1.39,0,1,0.87
4,1,3,12,0.89,2,1,3.96
3,2,3,7,1.64,1,0,1.34
1,3,4,20,1.87,3,1,2.09
3,2,3,8,1.76,0,0,1.66
2,2,1,19,1.08,2,2,6.32
3,2,4,22,1.14,0,1,1.14
4,3,4,19,1.69,2,3,8.19
2,2,3,8,1.88,3,1,4.31
2,3,2,5,0.72,1,1,0.72
3,3,4,7,2.0,2,2,5.57
1,3,3,4,1.37,3,2,5.91
4,1,1,20,0.56,0,0,3.41
4,1,3,13,1.19,2,2,4.62
3,3,4,7,0.92,1,1,3.23
3,2,2,5,1.31,1,3,3.89
4,1,3,12,1.46,2,1,4.78
3,1,2,16,1.1,0,2,1.14
3,3,4,3,0.55,1,3,6.56
1,1,4,4,1.69,1,2,1.81
1,1,1,15,0.55,1,2,1.13
1,3,4,0,0.64,2,1,3.52
3,3,1,8,0.9,1,2,4.06
2,2,4,14,1.91,1,0,1.26
4,2,2,5,0.81,2,2,6.24
4,3,3,19,1.93,1,0,4.79
4,3,2,22,1.46,2,0,7.46
4,1,2,25,1.59,3,0,5.85
3,2,1,17,1.98,1,3,3.62
3,2,4,25,1.15,3,0,7.01
1,1,4,8,0.7,2,3,3.7
3,2,4,16,1.11,3,3,8.13
1,1,3,20,1.53,3,0,1.39
3,1,4,13,1.97,1,1,0.5
1,3,3,8,1.4,1,1,0.5
3,3,4,17,1.96,2,2,5.32
2,3,4,14,1.92,2,2,3.89
1,1,2,6,0.85,1,3,3.91
3,2,1,16,1.93,3,2,6.23
1,2,2,17,1.39,0,3,2.83
4,2,4,6,1.52,0,1,0.74
2,3,2,12,0.78,1,1,2.29
3,1,3,16,1.35,1,0,2.34
4,1,3,24,1.2,0,2,2.74
2,1,2,9,0.61,0,2,1.25
4,3,2,23,0.65,0,0,3.8
1,1,3,20,1.77,1,0,0.5
4,1,1,10,1.95,2,0,4.58
3,3,1,0,0.87,0,1,3.55
2,1,2,6,1.32,1,1,0.5
4,1,3,10,0.78,2,0,6.72
2,1,4,11,1.87,3,0,3.19
3,3,1,18,1.13,1,1,1.65
1,2,1,21,1.12,1,2,2.87
1,1,2,13,1.57,2,0,2.99
